agency,price,title,address,date,transport,bed,bath,chair
chancellors-botley-new-homes-oxford-63343,"£395,000",2 bed flat for sale,"Apartment 4, Linden House, Eynsham Road, Botley, Oxfordshire OX2",Listed on 28th Feb 2022,"['1.4 miles Oxford', '4 miles Oxford Parkway']",2,1,1
chancellors-botley-new-homes-oxford-63343,"£495,000",2 bed flat for sale,"Apartment 6, Linden House, Eynsham Road, Botley, Oxfordshire OX2",Listed on 28th Feb 2022,"['1.4 miles Oxford', '4 miles Oxford Parkway']",2,2,1
chancellors-botley-new-homes-oxford-63343,"£300,000",1 bed flat for sale,"Apartment 3, Linden House, Eynsham Road, Botley, Oxfordshire OX2",Listed on 28th Feb 2022,"['1.4 miles Oxford', '3.9 miles Oxford Parkway']",1,,1
chancellors-botley-new-homes-oxford-63343,"£495,000",2 bed flat for sale,"Apartment 2, Linden House, Eynsham Road, Botley, Oxfordshire OX2",Listed on 28th Feb 2022,"['1.4 miles Oxford', '3.9 miles Oxford Parkway']",2,2,1
breckon-and-breckon-oxford-36492,"£625,000",3 bed terraced house for sale,"Godstow Road, Wolvercote, Oxford OX2",Listed on 28th Feb 2022,"['1.6 miles Oxford Parkway', '2.3 miles Oxford']",3,,
chancellors-headington-oxford-13802,"£550,000",3 bed semi-detached house for sale,"Marston, Oxford OX3",Listed on 28th Feb 2022,"['1.8 miles Oxford', '3.1 miles Oxford Parkway']",3,1,1
jcp-estate-agents-east-oxford-oxford-63448,"£395,000",2 bed flat for sale,"Burford Lodge, Pegasus Grange OX1",Listed on 28th Feb 2022,"['0.8 miles Oxford', '4.1 miles Radley']",2,1,1
scott-fraser-headington-oxford-6859,"£445,000",2 bed flat for sale,"Meadowsweet Way, Headington, Oxford OX3",Listed on 26th Feb 2022,"['2.5 miles Oxford', '3.3 miles Oxford Parkway']",2,2,1
martin-and-co-oxford-and-thame-oxford-15909,"£600,000",3 bed flat for sale,"The Lion Brewery, St Thomas' Street, Oxford OX1",Listed on 25th Feb 2022,"['0.3 miles Oxford', '3.7 miles Oxford Parkway']",3,2,1
martin-and-co-oxford-and-thame-oxford-15909,"£530,000",2 bed flat for sale,"St. Thomas Street, Oxford OX1",Listed on 25th Feb 2022,"['0.3 miles Oxford', '3.7 miles Oxford Parkway']",2,1,1
penny-and-sinclair-oxford-55334,"£550,000",2 bed flat for sale,"St. Thomas Street, Central Oxford OX1",Listed on 25th Feb 2022,"['0.2 miles Oxford', '3.6 miles Oxford Parkway']",2,1,1
john-d-wood-and-co-oxford-sales-oxford-15735,"£550,000",2 bed terraced house for sale,"Wellington Street, Jericho, Oxford OX2",Listed on 25th Feb 2022,"['0.3 miles Oxford', '3.2 miles Oxford Parkway']",2,1,1
connells-cowley-oxford-1870,"£500,000",3 bed semi-detached house for sale,"Mogridge Drive, Littlemore, Oxford OX4",Listed on 25th Feb 2022,"['2.7 miles Oxford', '2.7 miles Radley']",3,2,1
west-the-property-consultancy-summertown-36494,"£410,000",2 bed flat for sale,"St George's Manor, Oxford OX4",Listed on 25th Feb 2022,"['2.3 miles Radley', '3.1 miles Oxford']",2,2,1
carter-jonas-oxford-oxford-80235,"£725,000",3 bed end terrace house for sale,"Hernes Road, Oxford OX2",Listed on 25th Feb 2022,"['1.5 miles Oxford Parkway', '2.1 miles Oxford']",3,4,1
chancellors-east-oxford-oxford-13801,"£300,000",2 bed terraced house for sale,"Littlemore, Oxford OX4",Listed on 25th Feb 2022,"['2.2 miles Radley', '3 miles Oxford']",2,1,1
scott-fraser-summertown-oxford-12784,"£75,000",1 bed flat for sale,"Osberton Road, Oxford, Oxfordshire OX2",Listed on 24th Feb 2022,"['1.7 miles Oxford Parkway', '1.8 miles Oxford']",1,,
chancellors-headington-oxford-13802,"£500,000",3 bed semi-detached house for sale,"Northway, Headington, Oxford OX3",Listed on 24th Feb 2022,"['2.4 miles Oxford', '3.4 miles Oxford Parkway']",3,1,1
chamberlain-evans-oxford-33362,"£270,000",2 bed flat for sale,"Wilkins Road, Cowley, Oxford OX4",Listed on 24th Feb 2022,"['3 miles Oxford', '3.8 miles Radley']",2,,
pattinson-auctions-gateshead-51857,"£390,000",3 bed semi-detached house for sale,"Swinbourne Road, Littlemore, Oxford OX4",Listed on 24th Feb 2022,"['2.7 miles Radley', '2.9 miles Oxford']",3,,2
chamberlain-evans-oxford-33362,"£360,000",2 bed flat for sale,"Abingdon Road, Oxford OX1",Listed on 24th Feb 2022,"['1.6 miles Oxford', '3.3 miles Radley']",2,,
wallers-estate-agents-oxford-76958,"£390,000",3 bed semi-detached house for sale,"Swinbourne Road, Littlemore, Oxford OX4",Listed on 24th Feb 2022,"['2.7 miles Radley', '2.9 miles Oxford']",3,2,2
